t,date,cum_infections,cum_reinfections,cum_infectious,cum_symptomatic,cum_severe,cum_critical,cum_recoveries,cum_deaths,cum_tests,cum_diagnoses,cum_known_deaths,cum_quarantined,cum_isolated,cum_doses,cum_vaccinated,new_infections,new_reinfections,new_infectious,new_symptomatic,new_severe,new_critical,new_recoveries,new_deaths,new_tests,new_diagnoses,new_known_deaths,new_quarantined,new_isolated,new_doses,new_vaccinated,n_susceptible,n_exposed,n_infectious,n_symptomatic,n_severe,n_critical,n_recovered,n_dead,n_diagnosed,n_known_dead,n_quarantined,n_isolated,n_vaccinated,n_imports,n_alive,n_naive,n_preinfectious,n_removed,prevalence,incidence,r_eff,doubling_time,test_yield,rel_test_yield,frac_vaccinated,pop_nabs,pop_protection,pop_symp_protection
0,2020-01-05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999900.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,999900.0,100.0,0.0,0.0001,0.0,15.429857460543865,,0.0,0.0,0.0,3.709728240966797e-05,0.0,0.0
1,2020-01-06,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999900.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,999900.0,100.0,0.0,0.0001,0.0,16.83257177513876,,0.0,0.0,0.0,7.419456481933594e-05,0.0,0.0
2,2020-01-07,102.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999898.0,102.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,999898.0,97.0,0.0,0.000102,2.0002040208101227e-06,18.414583684391626,,0.0,0.0,0.0,0.0001114168701171875,0.0,0.0
3,2020-01-08,145.0,0.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999855.0,145.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,999855.0,126.0,0.0,0.000145,4.300623590420611e-05,19.469292336217368,5.5964625854196015,0.0,0.0,0.0,0.0001619311065673828,0.0,0.0
4,2020-01-09,288.0,0.0,49.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999712.0,288.0,49.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,999712.0,239.0,0.0,0.000288,0.00014304119586440895,19.64555190323923,1.9658353391822463,0.0,0.0,0.0,0.0002650067138671875,0.0,0.0
5,2020-01-10,520.0,0.0,77.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,0.0,28.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999480.0,520.0,77.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,999480.0,443.0,0.0,0.00052,0.00023212070276543804,19.04731159349203,1.276626997022041,0.0,0.0,0.0,0.0004261905517578125,0.0,0.0
6,2020-01-11,722.0,0.0,108.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,0.0,31.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999278.0,722.0,108.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,999278.0,614.0,0.0,0.000722,0.00020214594937544906,18.323562809568102,1.2953670257310073,0.0,0.0,0.0,0.00067285791015625,0.0,0.0
7,2020-01-12,1051.0,0.0,165.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,57.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998949.0,1051.0,165.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,998949.0,886.0,0.0,0.001051,0.0003293461427960787,17.96893385653757,1.6063208059598393,0.0,0.0,0.0,0.0010478052978515626,0.0,0.0
8,2020-01-13,1596.0,0.0,289.0,102.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,0.0,124.0,41.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998406.0,1594.0,287.0,101.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,998404.0,1307.0,0.0,0.001594,0.0005458701169664445,17.97349404614171,1.854281735610196,0.0,0.0,0.0,0.001608141845703125,1.7851407392299734e-06,6.696593004562601e-07
9,2020-01-14,2423.0,0.0,449.0,172.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,827.0,0.0,160.0,70.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997582.0,2418.0,444.0,169.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,997577.0,1974.0,0.0,0.002418,0.000829004532960699,18.14595378880791,1.7175012077159506,0.0,0.0,0.0,0.002451252685546875,4.0026811802817974e-06,1.6441322259197477e-06
10,2020-01-15,3803.0,2.0,676.0,302.0,2.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.0,2.0,227.0,130.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996208.0,3792.0,665.0,298.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,996199.0,3127.0,0.0,0.003792,0.0013852528789168527,18.24648403681823,1.6169235674549822,0.0,0.0,0.0,0.003735732177734375,7.542903858848149e-06,3.552192993083736e-06
