,name,equation_type,sector,definition,description,standard_equation_eviews_equation,standard_equation_python_equation,standard_equation_rhs_eq_var,exogenous_projection,standard_equation_coeff_cf_name,standard_equation_coeff_cf_value,kfcalc,stochastic_type,standard_equation_coeff_t_stat,standard_equation_estimation_statistics_adjusted_r_squared,standard_equation_estimation_statistics_date,standard_equation_estimation_statistics_durbin_watson,standard_equation_estimation_statistics_method,standard_equation_estimation_statistics_r_squared,standard_equation_estimation_statistics_sample_end,standard_equation_estimation_statistics_sample_start,standard_equation_estimation_statistics_se_of_regression,standard_equation_estimation_statistics_F_statistic,standard_equation_estimation_statistics_prob_F_statistic,standard_equation_estimation_statistics_estimation_date,standard_equation_coeff_distributed_lag_group,standard_equation_estimation_statistics,mce_equation_mce_group,mce_equation_mce_description,mce_equation_eviews_equation,mce_equation_python_equation,mce_equation_coeff_cf_name,mce_equation_coeff_cf_value,mce_equation_rhs_eq_var
0,dmptmax,Behavioral,Financial Sector,Monetary policy indicator for both thresholds,"DMPTMAX equals one when either the unemployment threshold or
the inflation threshold is breached.

","dmptmax - dmptmax_aerr = (@recode((dmptlur)>(dmptpi),dmptlur,dmptpi)) ","dmptmax - dmptmax_aerr = (max((dmptlur),(dmptpi))) ","['dmptlur', 'dmptpi']",,,,,,,,,,,,,,,,,,,,,,,,,,
1,adjlegrt,Exogenous,,Potential government employment ratio (relative to business),,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
2,d79a,Exogenous,,"Dummy, post-1979 indicator",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
3,d8095,Exogenous,,"Dummy, 1980-1995 indicator",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
4,d83,Exogenous,,"Dummy, post-1983 indicator",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
5,d87,Exogenous,,"Dummy, post-1986 indicator",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
6,ddockm,Exogenous,,"Dock strike dummy, import equation",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
7,ddockx,Exogenous,,"Dock strike dummy, export equation",,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
8,delrff,Identity,Financial Sector,"Federal funds rate, first diff",,delrff - delrff_aerr = rff - rff(-1) ,delrff - delrff_aerr = rff - rff(-1) ,rff,,,,,,,,,,,,,,,,,,,,,,,,,,
9,deuc,Exogenous,,"EUC switch:  1 for including EUC, 0 for not including",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
10,dfmprr,Exogenous,,"Dummy, Foreign monetary policy switch:  Exogenous real interest rate",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
11,dfpdbt,Exogenous,,Fiscal policy switch:  1 for debt ratio stabilization,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
12,dfpex,Exogenous,,Fiscal policy switch:  1 for exogenous personal income trend tax rates,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
13,dfpsrp,Exogenous,,Fiscal policy switch:  1 for surplus ratio stabilization,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,dglprd,Exogenous,,Switch to control for long-run productivity growth in the government sector,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
15,dmpalt,Exogenous,,Monetary policy switch: MA rule,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
16,dmpex,Exogenous,,Monetary policy switch:  exogenous federal funds rate,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
17,dmpgen,Exogenous,,Monetary policy switch:  Generalized reaction function,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
18,dmpintay,Exogenous,,Monetary policy switch:  inertial taylor rule,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
19,dmprr,Exogenous,,Monetary policy switch:  exogenous real federal funds rate,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
20,dmptay,Exogenous,,Monetary policy switch:  Taylor's reaction function,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
21,dmptlr,Exogenous,,Monetary policy switch:  Taylor's reaction function with unemployment gap,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
22,dmptlur,Behavioral,Financial Sector,Monetary policy indicator for unemployment threshold,"DMPTLUR equals zero when the unemployment rate is above its
threshold (LURTRSH) one when it is below.  A logistic function
smoothes the transition, improving solution convergence properties.
",dmptlur - dmptlur_aerr = 1/(1+exp(y_dmptlur(1)*(lur-lurtrsh))) ,dmptlur - dmptlur_aerr = 1/(1+exp(y_dmptlur_1*(lur-lurtrsh))) ,"['lur', 'lurtrsh']",,y_dmptlur(1),25,,,,,,,,,,,,,,,,,,,,,,,
23,dmptpi,Behavioral,Financial Sector,Monetary policy indicator for inflation threshold,"

DMPTPI equals zero when expected inflation is below its threshold
and one when it is above.  A logistic function smoothes the
transition, improving solution convergence properties.

",dmptpi - dmptpi_aerr = 1/(1+exp(y_dmptpi(1)*(zpic58-pitrsh))) ,dmptpi - dmptpi_aerr = 1/(1+exp(y_dmptpi_1*(zpic58-pitrsh))) ,"['pitrsh', 'zpic58']",,y_dmptpi(1),-25,,,,,,,,,,,,,,,,,,,,,,,
24,dmptr,Behavioral,Financial Sector,Monetary policy indicator for policy rule thresholds,"DMPTR is initially zero.  It remains at that value until
either the unemployment threshold or the inflation threshold
is breached, after which it equals one.
","dmptr - dmptr_aerr = (@recode((dmptmax)>(dmptr(-1)),dmptmax,dmptr(-1))) ","dmptr - dmptr_aerr = (max(dmptmax,(dmptr(-1)))) ","['dmptmax', 'dmptr']",,,,,,,,,,,,,,,,,,,,,,,,,,
25,dmptrsh,Exogenous,,"Monetary policy threshold switch:  0 for no threshold,  1 for threshold",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
26,dpadj,Behavioral,Wages and Prices,Price inflation aggregation adjustment,"The adjustment factor for non-consumption prices equals the
value in the prior quarter plus the price aggregation discrepancy
in the prior quarter.  Thus, component prices are adjusted to
offset any aggregation discrepancy with only a one-quarter lag.
",dpadj - dpadj_aerr - dpadj(-1) = y_dpadj(1) * dpgap(-1) ,dpadj - dpadj_aerr - dpadj(-1) = y_dpadj_1 * dpgap(-1) ,dpgap,,y_dpadj(1),1.0000,,,,,,,,,,,,,,,,,,,,,,,
27,dpgap,Identity,Wages and Prices,Price inflation aggregation discrepancy,"The price inflation aggregation discrepancy (DPGAP) equals the rate
of increase of the price for adjusted final sales excluding
consumption less the weighted sum of rates of price increase for the
non-consumption components of adjusted final sales.
","dpgap - dpgap_aerr =  pipxnc/400 - (
        y_dpgap(1) * d( log( phr * pxp), 0, 1)
      + y_dpgap(2) * d( log( pbfir * pxp), 0, 1)
      + (y_dpgap(3)+y_dpgap(4)) * d( log( pegfr * pxp), 0, 1)
      + (y_dpgap(5)+y_dpgap(6)) * d( log( pegsr * pxp), 0, 1)
      + y_dpgap(7) * d( log( pxr * pxp), 0, 1))
","dpgap - dpgap_aerr =  pipxnc/400 - (
        y_dpgap_1 * ( log( phr * pxp) - ( log( phr(-1) * pxp(-1))))
      + y_dpgap_2 * ( log( pbfir * pxp) - ( log( pbfir(-1) * pxp(-1))))
      + (y_dpgap_3+y_dpgap_4) * ( log( pegfr * pxp) - ( log( pegfr(-1) * pxp(-1))))
      + (y_dpgap_5+y_dpgap_6) * ( log( pegsr * pxp) - ( log( pegsr(-1) * pxp(-1))))
      + y_dpgap_7 * ( log( pxr * pxp) - ( log( pxr(-1) * pxp(-1)))))
","['pbfir', 'pegfr', 'pegsr', 'phr', 'pipxnc', 'pxp', 'pxr']",,"['y_dpgap(1)', 'y_dpgap(2)', 'y_dpgap(3)', 'y_dpgap(4)', 'y_dpgap(5)', 'y_dpgap(6)', 'y_dpgap(7)']","['0.1036498839384806', '0.3410415470273469', '0.08204590812944115', '0.03932014681002743', '0.05247494124140634', '0.05248394123132865', '0.328983631621969']",,,,,,,,,,,,,,,,,,,,,,,
28,drstar,Exogenous,,"RSTAR updating switch: 1 is on, 0 is off",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
29,ebfi,Behavioral,Business Expenditures,"Business Fixed Investment, cw 2012$","Business Fixed Investment is a weighted average of the investment spending
of optimizing firms and an ad hoc term in lagged output growth adjusted for the trend growth
rate of the relative price of investment.
","dlog(ebfi)  - ebfi_aerr =
          (y_ebfi(1)*(log(qebfi(-1)/ebfi(-1)))
          + y_ebfi(2)*dlog(ebfi(-1))
          + y_ebfi(3)*dlog(ebfi(-2))
          + y_ebfi(4)*zebfi)*(1
          -y_ebfi(5))
          + y_ebfi(5)*(dlog(xb(-1)) - hgpbfir(-1)/400)","(log(ebfi) - log(ebfi(-1)))  - ebfi_aerr =
          (y_ebfi_1*(log(qebfi(-1)/ebfi(-1)))
          + y_ebfi_2*(log(ebfi(-1)) - log(ebfi(-2)))
          + y_ebfi_3*(log(ebfi(-2)) - log(ebfi(-3)))
          + y_ebfi_4*zebfi)*(1
          -y_ebfi_5)
          + y_ebfi_5*((log(xb(-1)) - log(xb(-2))) - hgpbfir(-1)/400)","['ebfi', 'hgpbfir', 'qebfi', 'xb', 'zebfi']",,"['y_ebfi(1)', 'y_ebfi(2)', 'y_ebfi(3)', 'y_ebfi(4)', 'y_ebfi(5)']","['0.07358150979200171', '0.5222641043182303', '0.3022170849291267', '1', '0.3835146156808873']",1,IS,"['2.592163375459443', '4.287699440392147', '2.174719454590632', '2.411491893124986']",0.4270846843719483,08/30/18   Time: 10:03 ,2.032083749771118,Least Squares,0.4360833466053009,2017Q4,1970Q1,0.01577474921941757,,,,,,,,,,,,
30,ebfin,Identity,Business Expenditures,"Investment in equipment, current $",,ebfin - ebfin_aerr = 0.01*ebfi*pbfir*pxp ,ebfin - ebfin_aerr = 0.01*ebfi*pbfir*pxp ,"['ebfi', 'pbfir', 'pxp']",,,,,,,,,,,,,,,,,,,,,,,,,,
31,ec,Behavioral,Household Expenditures,"Consumption, cw 2012$ (FRB/US definition)","

The FRB/US concept of total consumer spending is approximated by
a fixed-weighted aggregation of its components.

","log(ec) - ec_aerr = log(ec(-1)) + y_ec(1)*log(eco/eco(-1)) + y_ec(2)*log(ech/ech(-1))
                         +y_ec(3)*log((yhpcd+jkcd)/(yhpcd(-1)+jkcd(-1)))
     ","log(ec) - ec_aerr = log(ec(-1)) + y_ec_1*log(eco/eco(-1)) + y_ec_2*log(ech/ech(-1))
                         +y_ec_3*log((yhpcd+jkcd)/(yhpcd(-1)+jkcd(-1)))
     ","['ec', 'ech', 'eco', 'jkcd', 'yhpcd']",,"['y_ec(1)', 'y_ec(2)', 'y_ec(3)']","['0.7310605131', '0.157421136', '0.1115183509']",,,,,,,,,,,,,,,,,,,,,,,
