variable,type
dmptmax,endogenous
delrff,endogenous
dmptlur,endogenous
dmptpi,endogenous
dmptr,endogenous
dpadj,endogenous
dpgap,endogenous
ebfi,endogenous
ebfin,endogenous
ec,endogenous
ecd,endogenous
ech,endogenous
ecnia,endogenous
ecnian,endogenous
eco,endogenous
egfe,endogenous
egfen,endogenous
egfet,endogenous
egfl,endogenous
egfln,endogenous
egflt,endogenous
egse,endogenous
egsen,endogenous
egset,endogenous
egsl,endogenous
egsln,endogenous
egslt,endogenous
eh,endogenous
ehn,endogenous
ei,endogenous
ein,endogenous
em,endogenous
emn,endogenous
emo,endogenous
emon,endogenous
emp,endogenous
empn,endogenous
ex,endogenous
exn,endogenous
fcbn,endogenous
fcbrn,endogenous
fgdp,endogenous
fgdpt,endogenous
fnicn,endogenous
fniln,endogenous
fnin,endogenous
fnirn,endogenous
fpc,endogenous
fpi10,endogenous
fpi10t,endogenous
fpic,endogenous
fpx,endogenous
fpxr,endogenous
fpxrr,endogenous
frl10,endogenous
frs10,endogenous
frstar,endogenous
ftcin,endogenous
fxgap,endogenous
fynicn,endogenous
fyniln,endogenous
fynin,endogenous
gfdbtnp,endogenous
gfdbtn,endogenous
ugfsrp,endogenous
uleg,endogenous
gfexpn,endogenous
gfintn,endogenous
gfrecn,endogenous
gfsrpn,endogenous
gtn,endogenous
gtr,endogenous
gtrd,endogenous
hgemp,endogenous
hggdp,endogenous
hggdpt,endogenous
hgpbfir,endogenous
hgpkir,endogenous
hgynid,endogenous
hks,endogenous
hlept,endogenous
hlprdt,endogenous
hmfpt,endogenous
hqlfpr,endogenous
hqlww,endogenous
huqpct,endogenous
huxb,endogenous
hxbt,endogenous
hxbtr,endogenous
jccan,endogenous
jkcd,endogenous
kbfi,endogenous
kcd,endogenous
kh,endogenous
ki,endogenous
ks,endogenous
leg,endogenous
leh,endogenous
leo,endogenous
lep,endogenous
leppot,endogenous
lf,endogenous
lfpr,endogenous
lhp,endogenous
lprdt,endogenous
lur,endogenous
lurnat,endogenous
lww,endogenous
mei,endogenous
mep,endogenous
mfpt,endogenous
pbfir,endogenous
pcdr,endogenous
pcer,endogenous
pcfr,endogenous
pchr,endogenous
pcnia,endogenous
pcor,endogenous
pcpi,endogenous
pcpix,endogenous
pcxfe,endogenous
pegfr,endogenous
pegsr,endogenous
pgdp,endogenous
pgfl,endogenous
pgsl,endogenous
phouse,endogenous
phr,endogenous
pic4,endogenous
picnia,endogenous
picx4,endogenous
picxfe,endogenous
pieci,endogenous
pigdp,endogenous
pipl,endogenous
pipxnc,endogenous
pkbfir,endogenous
pl,endogenous
pmo,endogenous
pmp,endogenous
poil,endogenous
poilr,endogenous
ptr,endogenous
pxb,endogenous
pxnc,endogenous
pxp,endogenous
pxr,endogenous
qebfi,endogenous
qec,endogenous
qecd,endogenous
qeco,endogenous
qeh,endogenous
qkir,endogenous
qlf,endogenous
qlfpr,endogenous
qlhp,endogenous
qlww,endogenous
qpcnia,endogenous
qpl,endogenous
qpmo,endogenous
qpxb,endogenous
qpxnc,endogenous
qpxp,endogenous
qynidn,endogenous
rbbb,endogenous
rbbbp,endogenous
rbfi,endogenous
rcar,endogenous
rccd,endogenous
rcch,endogenous
rcgain,endogenous
req,endogenous
reqp,endogenous
rff,endogenous
rffalt,endogenous
rffintay,endogenous
rffrule,endogenous
rfftay,endogenous
rfftlr,endogenous
rfynic,endogenous
rfynil,endogenous
rg10,endogenous
rg10p,endogenous
rg30,endogenous
rg30p,endogenous
rg5,endogenous
rg5p,endogenous
rgfint,endogenous
rgw,endogenous
rme,endogenous
rrff,endogenous
rrtr,endogenous
rspnia,endogenous
rstar,endogenous
rtb,endogenous
rtbfi,endogenous
rtinv,endogenous
rtr,endogenous
tcin,endogenous
tpn,endogenous
trci,endogenous
trp,endogenous
trpt,endogenous
tryh,endogenous
uqpct,endogenous
uxbt,endogenous
uynicpnr,endogenous
vbfi,endogenous
wpo,endogenous
wpon,endogenous
wps,endogenous
wpsn,endogenous
xb,endogenous
xbn,endogenous
xbo,endogenous
xbt,endogenous
xbtr,endogenous
xfs,endogenous
xfsn,endogenous
xgap,endogenous
xgap2,endogenous
xgdi,endogenous
xgdin,endogenous
xgdo,endogenous
xgdp,endogenous
xgdpn,endogenous
xgdpt,endogenous
xgdptn,endogenous
xp,endogenous
xpn,endogenous
ydn,endogenous
yh,endogenous
yhgap,endogenous
yhibn,endogenous
yhl,endogenous
yhln,endogenous
yhp,endogenous
yhpcd,endogenous
yhpgap,endogenous
yhpntn,endogenous
yhpshr,endogenous
yhptn,endogenous
yhshr,endogenous
yhsn,endogenous
yht,endogenous
yhtgap,endogenous
yhtn,endogenous
yhtshr,endogenous
ykbfin,endogenous
ykin,endogenous
ynicpn,endogenous
ynidn,endogenous
yniln,endogenous
ynin,endogenous
ynirn,endogenous
ypn,endogenous
zdivgr,endogenous
zebfi,endogenous
zecd,endogenous
zeco,endogenous
zeh,endogenous
zgap05,endogenous
zgap10,endogenous
zgap30,endogenous
zgapc2,endogenous
zlhp,endogenous
zpi10,endogenous
zpi10f,endogenous
zpi5,endogenous
zpib5,endogenous
zpic30,endogenous
zpic58,endogenous
zpicxfe,endogenous
zpieci,endogenous
zrff10,endogenous
zrff30,endogenous
zrff5,endogenous
zyh,endogenous
zyhp,endogenous
zyhpst,endogenous
zyhst,endogenous
zyht,endogenous
zyhtst,endogenous
zynid,endogenous
adjlegrt,exogenous
d79a,exogenous
d8095,exogenous
d83,exogenous
d87,exogenous
ddockm,exogenous
ddockx,exogenous
deuc,exogenous
dfmprr,exogenous
dfpdbt,exogenous
dfpex,exogenous
dfpsrp,exogenous
dglprd,exogenous
dmpalt,exogenous
dmpex,exogenous
dmpintay,exogenous
dmprr,exogenous
dmptay,exogenous
dmptlr,exogenous
dmptrsh,exogenous
drstar,exogenous
emptrt,exogenous
fpitrg,exogenous
fpxrrt,exogenous
ugfdbtp,exogenous
gfdrt,exogenous
gfsrt,exogenous
gtrt,exogenous
hgpcdr,exogenous
hksr,exogenous
jrbfi,exogenous
jrcd,exogenous
jrh,exogenous
leuc,exogenous
lqualt,exogenous
lurtrsh,exogenous
n16,exogenous
