,I
0,0.002665214220345808
1,0.0028646316685172275
2,0.003075969233288722
3,0.0032996791854025204
4,0.0035362094364997723
5,0.0037860014137717454
6,0.004049487813926291
7,0.0043270902414141174
8,0.004619216737027835
9,0.0049262592041883334
10,0.005248590741459313
11,0.005586562891072202
12,0.005940502814490277
13,0.0063107104072811365
14,0.006697455366789904
15,0.0071009742272985345
16,0.007521467378507616
17,0.007959096084272121
18,0.008413979519549319
19,0.00888619184446104
20,0.009375759335221218
21,0.009882657592419113
22,0.010406808847766427
23,0.010948079390899805
24,0.011506277138167445
25,0.01208114936550849
26,0.012672380627546826
27,0.013279590884857376
28,0.01390233386101622
29,0.01454009565050891
30,0.015192293597840209
31,0.015858275467259833
32,0.0165373189213923
33,0.017228631325734673
34,0.01793134989446742
35,0.01864454219131595
36,0.019367206997309504
37,0.020098275555221062
38,0.020836613198246073
39,0.021581021368104365
40,0.022330240025242063
41,0.023082950451188154
42,0.02383777844040009
43,0.024593297876137978
44,0.02534803468205727
45,0.026100471138330465
46,0.02684905054822388
47,0.02759218223818998
48,0.028328246871717654
49,0.029055602054435886
50,0.029772588205319785
51,0.03047753466632565
52,0.03116876602041153
53,0.031844608585705286
54,0.03250339705158785
55,0.03314348122068793
56,0.03376323281925598
57,0.034361052337119835
58,0.034935375857437515
59,0.03548468183576996
60,0.03600749778760839
61,0.03650240684341804
62,0.03696805413050615
63,0.0374031529415931
64,0.03780649065085843
65,0.038176934339447174
66,0.038513436093948826
67,0.038815037943191646
68,0.039080876400817505
69,0.03931018658349914
70,0.03950230587731649
71,0.0396566771276984
72,0.03977285133143816
73,0.03985048981257928
74,0.0398893658674143
75,0.0398893658674143
76,0.03985048981257928
77,0.03977285133143816
78,0.0396566771276984
79,0.03950230587731649
80,0.03931018658349914
81,0.039080876400817505
82,0.038815037943191646
83,0.038513436093948826
84,0.038176934339447174
85,0.03780649065085843
86,0.037403152941593104
87,0.03696805413050615
88,0.03650240684341804
89,0.03600749778760839
90,0.03548468183576996
91,0.034935375857437515
92,0.034361052337119835
93,0.03376323281925598
94,0.03314348122068793
95,0.03250339705158785
96,0.031844608585705286
97,0.031168766020411538
98,0.030477534666325645
99,0.029772588205319785
100,0.029055602054435886
101,0.028328246871717654
102,0.02759218223818998
103,0.02684905054822388
104,0.026100471138330472
105,0.025348034682057263
106,0.024593297876137978
107,0.02383777844040009
108,0.023082950451188158
109,0.022330240025242063
110,0.021581021368104365
111,0.02083661319824608
112,0.020098275555221055
113,0.019367206997309504
114,0.01864454219131595
115,0.017931349894467423
116,0.017228631325734666
117,0.0165373189213923
118,0.015858275467259833
119,0.015192293597840212
120,0.01454009565050891
121,0.01390233386101622
122,0.013279590884857381
123,0.012672380627546826
124,0.01208114936550849
125,0.011506277138167445
126,0.010948079390899808
127,0.010406808847766427
128,0.009882657592419113
129,0.00937575933522122
130,0.008886191844461044
131,0.008413979519549326
132,0.007959096084272116
133,0.007521467378507613
134,0.0071009742272985345
135,0.006697455366789904
136,0.006310710407281138
137,0.005940502814490279
138,0.005586562891072207
139,0.005248590741459307
140,0.0049262592041883334
141,0.004619216737027835
142,0.0043270902414141174
143,0.004049487813926291
144,0.003786001413771749
145,0.003536209436499776
146,0.0032996791854025174
147,0.0030759692332887195
148,0.0028646316685172275
149,0.002665214220345808
